topic,hook,line1,line2,line3,line4,line5,cta,title_base
self_love,आज की सच्चाई: ना कहना भी प्यार है।,"हर किसी को खुश रखने की कोशिश में, खुद को मत भूलो।","ना कहना, स्वार्थ नहीं, सीमा है।","जो अपनी सीमाएं नहीं रखता, वो जल्दी थक जाता है।",अपनी ऊर्जा बचाना भी खुद से प्यार है।,आज किसी एक चीज़ को विनम्रता से मना करो।,"सीमाएं बनाने वालों के लिए फॉलो करें। रुको, फिर से सुनो।",Na kehna bhi pyaar hai
self_love,ज़रा रुक जाओ। अपनी तारीफ़ खुद करो।,हर तारीफ़ किसी और से मिलने का इंतज़ार मत करो।,"जो मेहनत तुमने की, उसे खुद पहचानो।","छोटी जीत भी जीत होती है, उसे मनाओ।","आज खुद को एक शाबाशी दो, बिना वजह के।",तुम इसके हक़दार हो।,खुद को सराहने वालों के लिए सेव करें। फिर से सुनो।,Apni tareef khud karo
self_love,यह बात ध्यान से सुनो: शरीर को भी सुनो।,"थकान सिर्फ शरीर की नहीं, मन की भी होती है।","आराम करना, आलस नहीं, ज़रूरत है।","जब शरीर धीमा होने को कहे, उसे नज़रअंदाज़ मत करो।","खुद को दौड़ाना बंद करो, कभी कभी।","आज खुद को थोड़ा आराम दो, बिना अपराधबोध के।",आराम की याद के लिए फॉलो करें। दोबारा देखो।,Sharir ko bhi suno
self_love,यह जान लो: तुम काफी हो।,तुम्हें हर किसी को साबित करने की ज़रूरत नहीं।,"जैसे हो, वैसे ही काफी हो।","अपनी कमियों को दुश्मन नहीं, हिस्सा मानो।","खुद को स्वीकार करना, सबसे बड़ी शांति है।",आज खुद से कहो: मैं काफी हूँ।,"इसे सेव करें, जब भी शक हो खुद पर। एक बार और सुनो।",Tum kaafi ho
present_moment,एक मिनट रुको: अभी में जियो।,"कल की चिंता और बीते कल का पछतावा, दोनों आज को खा जाते हैं।","जो सामने है, उसे पूरी तरह महसूस करो।","एक कप चाय पीते वक़्त, सिर्फ चाय पर ध्यान दो।","छोटे पल भी, पूरी तरह जिए जाएं तो बड़े लगते हैं।","आज एक काम, पूरे ध्यान से करो।",इस पल के लिए सेव करें। फिर से महसूस करो।,Abhi mein jiyo
present_moment,"रुको— फोन नीचे रखो, पल को देखो।","हर पल की फोटो लेने में, पल खुद छूट जाता है।",कभी कभी बिना कैमरे के भी देखना सीखो।,"असली यादें, आंखों से बनती हैं, स्क्रीन से नहीं।",आज एक पल बिना फोन के जियो।,"बस देखो, महसूस करो।",इसे किसी फोन एडिक्ट दोस्त को भेजें। इसे फिर सुनो।,"Phone neeche rakho, pal ko dekho"
present_moment,एक सच सुनो: सांस ही सबसे बड़ा एंकर है।,"जब मन भटके, वापस सांस पर ले आओ।","सांस हमेशा अभी में होती है, कभी कल में नहीं।","एक गहरी सांस, तुम्हें वापस पल में ला सकती है।","यह सबसे आसान, सबसे मुफ़्त अभ्यास है।","आज जब भी बेचैनी महसूस हो, तीन गहरी सांसें लो।","इस अभ्यास के लिए फॉलो करें। रुको, फिर से सुनो।",Saans hi sabse bada anchor hai
present_moment,क्या तुम्हें पता है? कल कभी नहीं आता।,"जब कल आता है, वो भी आज ही होता है।",तो फिर जीना क्यों टालते हो?,"जो करना है, आज करो, कल के भरोसे मत छोड़ो।",इंतज़ार में बहुत कुछ बीत जाता है।,"आज वो एक काम करो, जो तुम टाल रहे थे।",इसे सेव करके अमल करें। फिर से सुनो।,Kal kabhi nahi aata
present_moment,आज की सच्चाई: यह पल दोबारा नहीं आएगा।,"जो अभी हो रहा है, वो दोबारा वैसे नहीं होगा।","इस एहसास के साथ जियो, हर पल थोड़ा कीमती हो जाता है।","जल्दबाज़ी में जीना, पल को खोना है।","आज धीरे चलो, हर पल को महसूस करते हुए।",यही सबसे बड़ी सीख है ज़िंदगी की।,इस एहसास के लिए सेव करें। दोबारा देखो।,Yeh pal dobara nahi aayega
forgiveness,ज़रा रुक जाओ। माफ़ करना खुद के लिए है।,"जिसे तुम माफ़ नहीं करते, उसका बोझ तुम खुद उठाते हो।","माफ़ी, दूसरे के लिए तोहफ़ा नहीं, तुम्हारी अपनी आज़ादी है।","गुस्सा पकड़े रखना, खुद को ज़हर देने जैसा है।","माफ़ करने का मतलब भूलना नहीं, बस बोझ उतारना है।",आज किसी एक बात को माफ़ करने की कोशिश करो।,"इसे सेव करें, जब भी ज़रूरत हो। एक बार और सुनो।",Maaf karna khud ke liye hai
forgiveness,यह बात ध्यान से सुनो: खुद को भी माफ़ करना सीखो।,"दूसरों को माफ़ करना आसान है, खुद को माफ़ करना मुश्किल।","तुमने जो भी किया, उस वक़्त तुम वही जानते थे जो जानते थे।","गलतियाँ इंसान होने का सबूत हैं, कमज़ोरी नहीं।",खुद को सज़ा देना बंद करो।,"आज खुद से कहो: मैंने जितना बेहतर हो सका, किया।",खुद को माफ़ करने वालों के लिए फॉलो करें। फिर से महसूस करो।,Khud ko bhi maaf karna seekho
forgiveness,यह जान लो: पुरानी शिकायतें छोड़ो।,"जो बात बार-बार याद करके दुखी होते हो, उसे छोड़ने का वक़्त आ गया।","शिकायत रखना, ज़ख्म को बार-बार खोलना है।","भूलना ज़रूरी नहीं, पर पकड़े रहना भी ज़रूरी नहीं।",आज एक पुरानी शिकायत को हल्के में लो।,खुद को इस बोझ से आज़ाद करो।,आज़ादी के लिए सेव करें। इसे फिर सुनो।,Purani shikayatein chhodo
forgiveness,एक मिनट रुको: हर किसी की अपनी लड़ाई होती है।,"जिसने तुम्हें दुख दिया, हो सकता है वो खुद टूटा हुआ हो।","समझना, माफ़ करना आसान बना देता है।","यह किसी को सही ठहराना नहीं, खुद को हल्का करना है।",आज किसी की परिस्थिति को समझने की कोशिश करो।,"समझ, गुस्से से ज़्यादा ताकतवर होती है।","समझदारी के लिए फॉलो करें। रुको, फिर से सुनो।",Har kisi ki apni ladai hoti hai
forgiveness,"रुको— माफ़ी एक ताकत है, कमज़ोरी नहीं।","जो माफ़ कर सकता है, वो सबसे ज़्यादा मज़बूत होता है।","बदला लेना आसान है, माफ़ करना हिम्मत मांगता है।","तुम्हारी शांति, किसी की माफ़ी मांगने पर निर्भर नहीं होनी चाहिए।","बिना माफ़ी मांगे भी, तुम माफ़ कर सकते हो।",आज अपने लिए यह ताकत चुनो।,ताकत के लिए सेव करें। फिर से सुनो।,"Maafi ek taakat hai, kamzori nahi"
simplicity,"एक सच सुनो: सादा जीवन, गहरी शांति।","जितना कम सामान, उतना कम बोझ।","हर चीज़ इकट्ठा करना ज़रूरी नहीं, कुछ छोड़ना भी सीखो।",सादगी में एक अलग तरह का सुकून है।,"जो ज़रूरी नहीं, उसे हटाते जाओ, धीरे-धीरे।",आज एक अनचाही चीज़ से पीछा छुड़ाओ।,सादगी के लिए फॉलो करें। दोबारा देखो।,"Sada jeevan, gehri shanti"
simplicity,क्या तुम्हें पता है? कम में ज़्यादा जीना।,"ज़्यादा पाने की दौड़ में, जो है वो एन्जॉय करना भूल जाते हैं।","खुशी चीज़ों में नहीं, नज़रिए में होती है।","जो कम में खुश रहना सीख लेता है, वो सबसे अमीर है।","आज जो है, उसी में संतोष खोजो।",यही सच्ची अमीरी है।,"इसे सेव करें, याद रखने के लिए। एक बार और सुनो।",Kam mein zyada jeena
simplicity,आज की सच्चाई: दिखावे से दूरी।,"दूसरों को दिखाने के लिए जीना, सबसे बड़ी थकान है।","अपने लिए जियो, भीड़ के लिए नहीं।","जो असली है, उसे दिखावे की ज़रूरत नहीं होती।","आज कुछ ऐसा करो जो सिर्फ तुम्हें खुशी दे, किसी और को दिखाने के लिए नहीं।",खुद के लिए जीना सीखो।,असली ज़िंदगी के लिए फॉलो करें। फिर से महसूस करो।,Dikhave se doori
simplicity,ज़रा रुक जाओ। छोटी खुशियाँ ढूंढो।,"बड़ी खुशी के इंतज़ार में, छोटी खुशियाँ नज़रअंदाज़ मत करो।","एक अच्छी बारिश, एक पुरानी धुन, एक अपनों का साथ - यही काफी है।",खुशी के लिए बड़ी वजह ढूंढना बंद करो।,आज एक छोटी खुशी को पूरी तरह महसूस करो।,यही असली संतोष है।,छोटी खुशियों के लिए सेव करें। इसे फिर सुनो।,Choti khushiyan dhoondo
simplicity,"यह बात ध्यान से सुनो: कम बोलो, ज़्यादा जियो।",हर बात पर सफाई देना ज़रूरी नहीं।,"जो समझते हैं, उन्हें शब्दों की ज़रूरत नहीं।","जो नहीं समझते, उन्हें शब्द भी काफी नहीं होंगे।","अपनी ऊर्जा बचाओ, हर जगह खर्च मत करो।",आज एक बहस से चुपचाप दूर हो जाओ।,"शांत रहने वालों के लिए फॉलो करें। रुको, फिर से सुनो।","Kam bolo, zyada jiyo"
devotion,यह जान लो: भक्ति दिखावा नहीं।,"मंदिर जाना ज़रूरी नहीं, दिल से याद करना ज़रूरी है।","भक्ति शोर में नहीं, सच्चाई में होती है।","जो अंदर से जुड़ा है, उसे बाहर दिखाने की ज़रूरत नहीं।","अपने तरीके से जुड़ो, किसी और की नकल मत करो।",आज दो मिनट सच्चे मन से शुक्रिया कहो।,सच्ची भक्ति के लिए फॉलो करें। फिर से सुनो।,Bhakti dikhava nahi
devotion,एक मिनट रुको: विश्वास ही सबसे बड़ी शक्ति।,"जब रास्ता साफ न दिखे, विश्वास ही रोशनी बनता है।",हर सवाल का जवाब अभी मिलना ज़रूरी नहीं।,"भरोसा रखो, सब अपने समय पर साफ होगा।","जो मांगा है, अगर नहीं मिला, तो कुछ बेहतर आने वाला है।","आज बिना शक के, थोड़ा भरोसा रखो।",विश्वास के लिए सेव करें। दोबारा देखो।,Vishwas hi sabse badi shakti
devotion,रुको— घंटी की आवाज़ में सुकून।,"मंदिर की घंटी बजते ही, मन थोड़ा शांत हो जाता है।","यह सिर्फ आवाज़ नहीं, एक याद दिलाना है - रुको, ध्यान दो।","अपनी ज़िंदगी में भी ऐसे कुछ पल रखो, ठहराव के लिए।","हर दिन एक ऐसा पल चुनो, जो तुम्हें याद दिलाए कि तुम कौन हो।",आज वो पल ढूंढो।,"इसे सेव करें, रोज़ की याद के लिए। एक बार और सुनो।",Ghanti ki awaaz mein sukoon
devotion,एक सच सुनो: समर्पण में ताकत है।,"हर चीज़ को नियंत्रित करने की कोशिश छोड़ना, कमज़ोरी नहीं।","कुछ चीज़ें ऊपर वाले पर छोड़ देना, बोझ हल्का करता है।","पूरी कोशिश करो, फिर नतीजा जाने दो।",यही असली समर्पण है।,आज एक चिंता को छोड़ने का अभ्यास करो।,समर्पण के लिए फॉलो करें। फिर से महसूस करो।,Samarpan mein taakat hai
devotion,क्या तुम्हें पता है? श्रद्धा एक शांत ताकत है।,श्रद्धा को शोर में साबित करने की ज़रूरत नहीं।,यह चुपचाप तुम्हें मुश्किल वक़्त में थामे रखती है।,"जब कुछ समझ न आए, श्रद्धा ही सहारा बनती है।","इसे कमज़ोर मत समझो, यह गहरी ताकत है।",आज अपनी श्रद्धा को थोड़ा और मज़बूत करो।,श्रद्धा के लिए सेव करें। इसे फिर सुनो।,Shraddha ek shant taakat hai
night_stillness,आज की सच्चाई: रात की खामोशी में जवाब मिलते हैं।,"दिन का शोर थमते ही, मन की आवाज़ साफ सुनाई देती है।","रात में सोचे गए सवाल, अक्सर सुबह हल्के लगते हैं।","हर रात, दिन का बोझ थोड़ा उतार दो।","सोने से पहले, आज की एक अच्छी बात याद करो।","आज रात, बिना शिकायत के सो जाओ।","शांत नींद के लिए सेव करें। रुको, फिर से सुनो।",Raat ki khamoshi mein jawab milte hain
night_stillness,ज़रा रुक जाओ। तारों तले एक सवाल।,"इतने बड़े आसमान के नीचे, हमारी परेशानियाँ कितनी छोटी लगती हैं।","जो बात आज बहुत बड़ी लग रही है, कल शायद याद भी न रहे।",बड़ी तस्वीर देखना सीखो।,हर मुश्किल हमेशा के लिए नहीं होती।,"आज आसमान की तरफ देखो, दो मिनट के लिए।",बड़ी सोच के लिए फॉलो करें। फिर से सुनो।,Taaron tale ek sawaal
night_stillness,यह बात ध्यान से सुनो: सोने से पहले का शुक्रिया।,"दिन कैसा भी रहा हो, कुछ न कुछ अच्छा ज़रूर हुआ होगा।","सोने से पहले, उस एक अच्छी बात को याद करो।","शिकायत के साथ सोना, अगली सुबह भी भारी बना देता है।","शुक्रिया के साथ सोना, हल्की नींद देता है।","आज रात, एक शुक्रिया के साथ आंखें बंद करो।",शांत नींद के अभ्यास के लिए सेव करें। दोबारा देखो।,Sone se pehle ka shukriya
night_stillness,"यह जान लो: अंधेरा डरावना नहीं, ज़रूरी है।","जैसे रात दिन के लिए ज़रूरी है, वैसे ही मुश्किल वक़्त भी।",अंधेरे के बाद ही सुबह आती है।,"जो वक़्त मुश्किल लग रहा है, वो भी गुज़र जाएगा।","उसे भागने की जगह, समझने की कोशिश करो।","आज अपने अंधेरे पल को स्वीकार करो, डरो मत।",हिम्मत के लिए फॉलो करें। एक बार और सुनो।,"Andhera daravna nahi, zaroori hai"
night_stillness,"एक मिनट रुको: रात की सैर, मन की सफाई।","दिन भर की बातें, रात की चुप्पी में सुलझ जाती हैं।","थोड़ी देर अकेले चलना, मन को हल्का करता है।","फोन बंद करो, कुछ पल सिर्फ अपने कदमों की आवाज़ सुनो।","यह सबसे सस्ता, सबसे असरदार थेरेपी है।","आज रात एक छोटी सैर पर जाओ, अकेले।",इस अभ्यास के लिए सेव करें। फिर से महसूस करो।,"Raat ki sair, mann ki safai"
river_wisdom,रुको— नदी कभी पीछे नहीं मुड़ती।,"गंगा हमेशा आगे बहती है, चाहे रास्ता कितना भी टेढ़ा हो।","तुम्हारी ज़िंदगी में भी पीछे मुड़कर देखना, आगे बढ़ने से रोकता है।","जो बीत गया, उसे बहने दो।","आगे का रास्ता, पीछे देखकर नहीं मिलता।","आज एक कदम आगे बढ़ाओ, बिना पीछे देखे।",आगे बढ़ने वालों के लिए फॉलो करें। इसे फिर सुनो।,Nadi kabhi peeche nahi mudti
river_wisdom,एक सच सुनो: हर रुकावट के साथ रास्ता बदलती है नदी।,"पत्थर आने पर नदी लड़ती नहीं, रास्ता बदल लेती है।","हर मुश्किल से लड़ना ज़रूरी नहीं, कभी रास्ता बदलना भी समझदारी है।","लचीला होना, कमज़ोर होना नहीं है।","जो झुक सकता है, वो टूटता नहीं।",आज किसी मुश्किल का नया रास्ता ढूंढो।,"लचीलेपन के लिए सेव करें। रुको, फिर से सुनो।",Har rukawat ke saath raasta badalti hai nadi
river_wisdom,"क्या तुम्हें पता है? नदी बांटती है, रोकती नहीं।","नदी अपना पानी सबको देती है, बिना गिनती के।","जो बांटता है, वो कभी खाली नहीं होता।","देने से डरना बंद करो, यह घटाता नहीं, बढ़ाता है।",आज बिना उम्मीद के किसी को कुछ दो।,"समय, ध्यान, या सिर्फ एक मुस्कान।",देने वालों के लिए फॉलो करें। फिर से सुनो।,"Nadi baantti hai, rokti nahi"
river_wisdom,आज की सच्चाई: गंगा का धैर्य।,"पहाड़ों से मैदान तक, नदी को कोई जल्दी नहीं होती।",हर मोड़ अपने समय पर आता है।,"मंज़िल की जल्दी में, रास्ता मत भूलो।",हर चरण अपनी जगह ज़रूरी है।,आज अपनी यात्रा के हर मोड़ की कद्र करो।,धैर्य की यात्रा के लिए सेव करें। दोबारा देखो।,Ganga ka dhairya
river_wisdom,ज़रा रुक जाओ। नदी हर चीज़ को साफ कर देती है।,"जो भी उसमें बहाया जाए, नदी उसे आगे ले जाती है।","पुराना दर्द, पुरानी गलतियाँ - सबको बहने दो।",खुद को साफ मन से आगे बढ़ने दो।,"पकड़े रहना, सफाई नहीं होने देता।",आज एक बात को नदी की तरह बहा दो।,मन की सफाई के लिए फॉलो करें। एक बार और सुनो।,Nadi har cheez ko saaf kar deti hai
sacred_journey,यह बात ध्यान से सुनो: यात्रा मंज़िल से ज़्यादा सिखाती है।,"रास्ते में मिली मुश्किलें, मंज़िल से ज़्यादा याद रहती हैं।",हर यात्रा तुम्हें थोड़ा बदल देती है।,"जो सीखा, वो हमेशा तुम्हारे साथ रहेगा, मंज़िल भले पीछे छूट जाए।","यात्रा को भी उतना ही जियो, जितना मंज़िल को।",आज अपने रास्ते की एक अच्छी बात याद करो।,यात्रियों के लिए फॉलो करें। फिर से महसूस करो।,Yatra manzil se zyada sikhati hai
sacred_journey,"यह जान लो: हर तीर्थ, एक भीतर की यात्रा भी है।","बाहर की यात्रा आसान है, अंदर की यात्रा असली तीर्थ है।","जगह बदलने से पहले, खुद को समझने की कोशिश करो।","असली शांति बाहर नहीं, अंदर की सफाई से मिलती है।","हर तीर्थ यात्रा, खुद तक पहुंचने का एक बहाना है।",आज अपनी अंदर की यात्रा पर एक कदम बढ़ाओ।,इस विचार के लिए सेव करें। इसे फिर सुनो।,"Har teerth, ek bhitar ki yatra bhi hai"
sacred_journey,एक मिनट रुको: पैदल चलने की ताकत।,"जो पैदल तय होता है, वो दिल में गहरा उतरता है।","जल्दी पहुंचने की चाहत में, रास्ते का एहसास मत खोओ।","हर कदम, एक छोटी प्रार्थना जैसा हो सकता है।","धीमे चलो, महसूस करते हुए।","आज एक छोटा रास्ता, जानबूझकर पैदल तय करो।","धीमी यात्रा के लिए फॉलो करें। रुको, फिर से सुनो।",Paidal chalne ki taakat
sacred_journey,रुको— अनजान रास्तों से मत डरो।,"हर तीर्थ यात्रा, अनजान रास्तों से होकर गुज़रती है।","अनिश्चितता डरावनी लगती है, पर यहीं से नया सीखना शुरू होता है।","हर मोड़ पर भरोसा रखो, रास्ता खुद दिखेगा।","जो हिम्मत करके निकलता है, वो कभी खाली हाथ नहीं लौटता।",आज एक अनजान कदम बढ़ाने की हिम्मत करो।,हिम्मत की यात्रा के लिए सेव करें। फिर से सुनो।,Anjaan raaston se mat daro
sacred_journey,"एक सच सुनो: हर यात्रा का अंत, एक नई शुरुआत है।","जब एक तीर्थ यात्रा खत्म होती है, कुछ नया अंदर शुरू हो चुका होता है।","तुम वही नहीं रहते, जो यात्रा से पहले थे।",हर अनुभव तुम्हें थोड़ा गढ़ता है।,"इस बदलाव को अपनाओ, डरो मत।",आज अपने अंदर के एक बदलाव को स्वीकार करो।,बदलाव को अपनाने वालों के लिए फॉलो करें। दोबारा देखो।,"Har yatra ka ant, ek nayi shuruaat hai"
inner_light,क्या तुम्हें पता है? तुम्हारे अंदर एक रोशनी है।,"चाहे बाहर कितना भी अंधेरा हो, तुम्हारे अंदर की रोशनी नहीं बुझती।","कभी कभी हम उसे भूल जाते हैं, खो नहीं देते।","उस रोशनी को याद करना ही, खुद को वापस पाना है।",किसी और की रोशनी से अपनी तुलना मत करो।,आज अपने अंदर की रोशनी को महसूस करो।,इस याद के लिए सेव करें। एक बार और सुनो।,Tumhare andar ek roshni hai
inner_light,आज की सच्चाई: दीये की तरह जियो।,"दीया खुद जलकर, दूसरों को रास्ता दिखाता है।","तुम्हारी अच्छाई भी, किसी और के अंधेरे को कम कर सकती है।","छोटी सी रोशनी भी, बड़े अंधेरे को हरा सकती है।",अपनी रोशनी को छोटा मत समझो।,आज किसी के लिए एक छोटी सी रोशनी बनो।,इसे किसी को भेजें जो अंधेरे में है। फिर से महसूस करो।,Diye ki tarah jiyo
inner_light,ज़रा रुक जाओ। अंधेरे में भी दीया जलाया जाता है।,"सबसे ज़्यादा रोशनी की ज़रूरत, सबसे गहरे अंधेरे में होती है।","अपने सबसे मुश्किल पल में भी, थोड़ी उम्मीद जलाए रखो।","हार मत मानो, सिर्फ इसलिए कि अभी अंधेरा है।","हर दीया, अंधेरे में ही जलाया जाता है, रोशनी में नहीं।",आज अपने अंधेरे पल में एक उम्मीद जलाओ।,उम्मीद के लिए फॉलो करें। इसे फिर सुनो।,Andhere mein bhi diya jalaya jata hai
inner_light,यह बात ध्यान से सुनो: जागरूकता ही असली रोशनी है।,"जो खुद को समझता है, वो अंधेरे में भी रास्ता ढूंढ लेता है।","जागरूक रहना, हर हालात में शांत रहना सिखाता है।","अपने विचारों को देखना सीखो, बहकना नहीं।","यही सच्ची रोशनी है, बाहर की नहीं।","आज अपने एक विचार को बस देखो, जज मत करो।","जागरूकता के अभ्यास के लिए सेव करें। रुको, फिर से सुनो।",Jagrukta hi asli roshni hai
inner_light,यह जान लो: हर किसी के अंदर एक मंदिर है।,"पत्थर के मंदिर के अलावा, एक मंदिर तुम्हारे अंदर भी है।","वहाँ जाने के लिए कोई कतार नहीं, बस शांति चाहिए।",अपने अंदर के इस मंदिर को साफ रखो।,"गुस्सा, ईर्ष्या, शिकायत - इसे गंदा करते हैं।",आज अपने अंदर के मंदिर की सफाई करो।,इस विचार के लिए फॉलो करें। फिर से सुनो।,Har kisi ke andar ek mandir hai
ego_letting_go,"एक मिनट रुको: अहंकार छोटा करो, दिल बड़ा करो।","हमेशा सही साबित होने की ज़िद, रिश्ते तोड़ देती है।","कभी कभी चुप रहना, जीतने से बड़ी जीत है।",अहंकार को शांति से बड़ा मत होने दो।,आज किसी बहस में झुकने की हिम्मत दिखाओ।,"यह हार नहीं, समझदारी है।",समझदारी के लिए सेव करें। दोबारा देखो।,"Ahankar chota karo, dil bada karo"
ego_letting_go,रुको— माफ़ी मांगना कमज़ोरी नहीं।,"गलती मानना, अहंकार को चोट पहुंचाता है, पर रिश्ते को बचाता है।","जो माफ़ी मांग सकता है, वो सच में मज़बूत है।","अपनी गलती स्वीकार करना, सबसे बड़ी हिम्मत है।","आज किसी से एक छोटी माफ़ी मांगो, अगर ज़रूरत हो।",देखो रिश्ता कितना हल्का हो जाता है।,हिम्मत के लिए फॉलो करें। एक बार और सुनो।,Maafi maangna kamzori nahi
ego_letting_go,एक सच सुनो: तुलना अहंकार की जड़ है।,"जितना दूसरों से तुलना करोगे, उतना बेचैन रहोगे।","किसी की तरक्की, तुम्हारी कमी नहीं है।","अपनी यात्रा पर ध्यान दो, दूसरों की दौड़ पर नहीं।",हर किसी का रास्ता अलग है।,"आज खुद की, कल के खुद से तुलना करो, किसी और से नहीं।",इस विचार के लिए सेव करें। फिर से महसूस करो।,Tulna ahankar ki jad hai
ego_letting_go,"क्या तुम्हें पता है? सम्मान मांगो मत, कमाओ।","जो सम्मान ज़बरदस्ती मांगा जाए, वो टिकता नहीं।","अच्छे कर्म, खुद ही सम्मान दिलाते हैं।","किसी को नीचा दिखाकर, खुद ऊंचा नहीं हुआ जाता।","आज किसी को ऊपर उठाओ, नीचे मत गिराओ।",यही असली बड़प्पन है।,बड़प्पन के लिए फॉलो करें। इसे फिर सुनो।,"Samman maango mat, kamao"
ego_letting_go,"आज की सच्चाई: जो झुक सकता है, वो टूटता नहीं।","अकड़ हुआ पेड़ आंधी में टूट जाता है, झुकने वाला बच जाता है।","लचीला होना, कमज़ोरी नहीं, समझदारी है।",हर बार सख़्त रहना ज़रूरी नहीं।,आज किसी बात पर थोड़ा नरम रुख अपनाओ।,देखो कैसे रिश्ते आसान हो जाते हैं।,"नम्रता के लिए सेव करें। रुको, फिर से सुनो।","Jo jhuk sakta hai, wo tootta nahi"
solitude_strength,ज़रा रुक जाओ। अकेले चलने की हिम्मत।,"हर किसी का साथ मिलना ज़रूरी नहीं, अपने रास्ते पर भरोसा रखो।","भीड़ के साथ चलना आसान है, अकेले चलना हिम्मत मांगता है।","जो अपने फैसलों पर खड़ा रहता है, वो सबसे मज़बूत है।","आज किसी के साथ की परवाह किए बिना, अपना रास्ता चुनो।",तुम अकेले भी काफी हो।,हिम्मत के लिए फॉलो करें। फिर से सुनो।,Akele chalne ki himmat
solitude_strength,यह बात ध्यान से सुनो: खुद का साथ सबसे भरोसेमंद है।,"लोग साथ छोड़ सकते हैं, तुम खुद को कभी मत छोड़ो।","अपने आप पर भरोसा, सबसे मज़बूत नींव है।","जब सब छूट जाए, तब भी तुम खुद के साथ रहोगे।","इस रिश्ते को मज़बूत बनाओ, सबसे पहले।","आज खुद से एक वादा करो, और निभाओ।",खुद पर भरोसे के लिए सेव करें। दोबारा देखो।,Khud ka saath sabse bharosemand hai
solitude_strength,यह जान लो: चुप्पी में ताकत ढूंढो।,"हर कोई तुम्हें समझेगा, यह ज़रूरी नहीं।",बिना समझे गए भी शांत रहना सीखो।,तुम्हें हर किसी को सफाई देने की ज़रूरत नहीं।,"अपनी शांति, किसी की समझ पर निर्भर मत रखो।","आज बिना सफाई दिए, चुप रहो।",शांत रहने वालों के लिए फॉलो करें। एक बार और सुनो।,Chuppi mein taakat dhoondo
solitude_strength,एक मिनट रुको: भीड़ से अलग होना ठीक है।,"हर किसी की तरह सोचना, ज़रूरी नहीं।","अपने रास्ते पर चलना, कभी कभी अकेला कर देता है, यह ठीक है।","जो अलग सोचता है, वही कुछ नया बनाता है।",भीड़ में शामिल होने की ज़िद मत करो।,"आज अपनी सोच पर खड़े रहो, भले कोई साथ न दे।",अलग सोचने वालों के लिए सेव करें। फिर से महसूस करो।,Bheed se alag hona theek hai
solitude_strength,रुको— एकांत में मिलती है असली ताकत।,"जब कोई देख नहीं रहा, तब भी अच्छे बने रहना, असली चरित्र है।","एकांत में खुद को जानना, भीड़ में दिखावा करने से बेहतर है।","अपने अकेलेपन के पलों को डर से नहीं, सीखने से भरो।",यहीं से असली आत्मविश्वास आता है।,आज अपने एकांत के एक पल को गले लगाओ।,आत्मविश्वास के लिए फॉलो करें। इसे फिर सुनो।,Ekant mein milti hai asli taakat
change_acceptance,एक सच सुनो: बदलाव ही एकमात्र सच्चाई है।,"कुछ भी हमेशा एक जैसा नहीं रहता, यह डरावना नहीं, स्वाभाविक है।","जो बदलाव को स्वीकार करता है, वो कम दुखी होता है।","पुरानी चीज़ों को पकड़े रहना, नए को आने से रोकता है।","हर मौसम बदलता है, तुम्हारी ज़िंदगी भी बदलेगी।",आज एक बदलाव को बिना डर के स्वीकार करो।,"स्वीकृति के लिए सेव करें। रुको, फिर से सुनो।",Badlav hi ekmatra sachai hai
change_acceptance,"क्या तुम्हें पता है? पुराना छूटे बिना, नया नहीं मिलता।","हर नई शुरुआत के लिए, कुछ पुराना छोड़ना पड़ता है।","खाली जगह बनाना डरावना लगता है, पर ज़रूरी है।","जो जगह खाली होगी, वहीं कुछ नया आएगा।","पुराने को पकड़कर, नए का रास्ता मत रोको।",आज एक पुरानी आदत छोड़ने की शुरुआत करो।,नई शुरुआत के लिए फॉलो करें। फिर से सुनो।,"Purana chhute bina, naya nahi milta"
change_acceptance,"आज की सच्चाई: मौसम बदलते हैं, तुम भी बदलोगे।","जो आज मुश्किल लग रहा है, हमेशा ऐसा नहीं रहेगा।","हर बुरा वक़्त, अपने साथ एक सबक लेकर आता है।","बदलाव को दुश्मन मत समझो, यह तुम्हें तैयार कर रहा है।","धैर्य रखो, अगला मौसम बेहतर होगा।",आज अपने बदलते हालात को स्वीकार करो।,उम्मीद के लिए सेव करें। दोबारा देखो।,"Mausam badalte hain, tum bhi badloge"
change_acceptance,"ज़रा रुक जाओ। जो टूटता है, वही दोबारा बनता है।","टूटना हमेशा हार नहीं होता, कभी कभी नई शुरुआत होती है।","जो चीज़ें टूट जाती हैं, वो जगह बनाती हैं कुछ मज़बूत के लिए।",अपने टूटे हुए पलों से डरो मत।,वहीं से तुम्हारी असली ताकत निकलती है।,"आज अपने एक टूटे हुए पल को, सीखने की नज़र से देखो।",इस विचार के लिए फॉलो करें। एक बार और सुनो।,"Jo tootta hai, wahi dobara banta hai"
change_acceptance,यह बात ध्यान से सुनो: नई शुरुआत के लिए उम्र नहीं देखते।,"कभी भी देर नहीं होती, कुछ नया शुरू करने की।","पुरानी गलतियाँ, नई शुरुआत को रोक नहीं सकतीं।","हर दिन, दोबारा शुरू करने का मौका है।",खुद को दूसरा मौका देना सीखो।,आज को अपनी नई शुरुआत मान लो।,नई शुरुआत करने वालों के लिए सेव करें। फिर से महसूस करो।,Nayi shuruaat ke liye umar nahi dekhte
